ܐܦܪܝܩܐ	Africa
ܣܘܟܢܐ	Rudder
ܥܕܬܐ ܣܘܪܝܝܬܐ ܐܪܬܘܕܟܣܝܬܐ	Syriac Orthodox Church
ܟܣܬܐ	Fodder
ܩܡܫܠܝ	Qamishli
ܡܘܬܢܐ (ܗܘܦܪܟܝܐ)	Muthanna Governorate
ܒܪ ܙܘܓܐ (ܒܝܬܝܘܬܐ)	Husband
ܡܝܫܢ (ܗܘܦܪܟܝܐ)	Maysan Governorate
ܣܘܠܝܡܐܢܝܐ (ܗܘܦܪܟܝܐ)	Sulaymaniyah Governorate
ܐܪܒܝܠ (ܗܘܦܪܟܝܐ)	Erbil Governorate
ܚܠܒ (ܗܘܦܪܟܝܐ)	Aleppo Governorate
ܟܪܒܠܐܐ (ܗܘܦܪܟܝܐ)	Karbala Governorate
ܦܪܨܘܦܐ	Person
ܕܝ ܩܐܪ (ܗܘܦܪܟܝܐ)	Dhi Qar Governorate
ܐܢܕܪܢܝܩ ܡܐܪܓܐܪܝܐܢ	Andranik Margaryan
ܡܡܠܠܘܬ ܐܠܗܘܬܐ	Christian theology
ܓܘܙܐ	Juglandaceae
ܕܝܐܠܐ (ܗܘܦܪܟܝܐ)	Diyala Governorate
ܟܒܒ	Khabab
ܩܪܫܬܐ	Ceiling
ض	Ḍād
ظ	Ẓāʾ
غ	Ghayn
ܚܨܪܐ	Little finger
ܐܡܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Forearm
ܣܝܢܝ	Sinai (disambiguation)
ܬܐܘܡܐ	Thomas
ܐܝܒܪܝܐ	Iberia (disambiguation)
ܚܡܬ (ܗܘܦܪܟܝܐ)	Hama Governorate
ܟܢܘܢܬܐ ܕܐܝܕܐ	Carpus
ܐܝܣܪܐܝܠ (ܬܘܚܡܐ ܐܚܪܢܐ)	Israel (disambiguation)
ܡܠܐܟܐ	Angel
ܫܢܬܐ ܦܫܝܛܬܐ	Common year
ܡܣܘܪܩܐ ܕܐܝܕܐ	Metacarpus
ܡܠܟܘܬܐ ܕܒܝܬ ܥܣܪ ܥܝܢܐ	Osroene
ܕܪܥܐ (ܡܕܝܢܬܐ)	Daraa
ܨܕܥܐ	Temple (anatomy)
ܣܘܣܝܐ ܐܝܣܠܢܕܝܐ	Icelandic horse
ܩܠܐ	Note
ܛܘܘܝܐ	Grilling
ܓܪܡܐ	Bone
ܒܪܝܐܢܝ	Biryani
ܠܒܠܒܬܐ	Palatine uvula
ܙܓܐ ܕܣܦܝܢܬܐ	Ship's bell
ي	Yodh
ܥܪܒܝܐ	Arab (disambiguation)
ܓܝܕܐ ܕܓܢܫܝܐ	Sciatic nerve
ܒܪܬܐ (ܒܝܬܝܘܬܐ)	Daughter
ܗܪܗܪܐ	Mirage
ܚܣܟܗ (ܡܕܝܢܬܐ)	Al-Hasakah
ܒܝܬ ܢܗܪܝܢ ܥܠܝܬܐ	Upper Mesopotamia
ܛܐܪܩ ܥܙܝܙ	Tariq Aziz
ܡܣܘܪܩܐ ܕܪܓܠܐ	Metatarsus
ܥܪܩ	Arak (drink)
ܫܠܦܐ	Blade
ܛܘܪ ܠܒܢܢ	Mount Lebanon
ܐܙܟ	İdil
ܐܘܛܪܝܟܛ	Utrecht (disambiguation)
ܟܝܢܐ	Nature (disambiguation)
ܡܪܝ ܐܕܝ ܬܪܝܢܐ	Addai II Giwargis
ܪܗܘܡܐ	Rum (disambiguation)
ܓܐܝܘܣ	Gaius
ܩܝܒܩ	Quebec (disambiguation)
ܩܕܠܐ	Nape
ܥܡܐ ܐܬܘܪܝܐ/ܣܘܪܝܝܐ	Assyrian people
ܛܘܪܐ ܕܣܝܢܝ	Mount Sinai
ܬܐܘܡܐ ܐܘܕܘ	Toma Audo
ܦܘܪܬܥܢܐ	Flea
ܫܡܣܕܝܢ	Şemdinli
ܟܪܘܙܘܬܐ ܕܡܬܝ	Gospel of Matthew
ܡܕܝܢܬܐ ܡܝܬܬܐ	Dead Cities
ܐܬܘܪܝܐ	Assyrian
ܢܘܗܕܪܐ	Dohuk (disambiguation)
ܐܓܪܬܐ ܕܠܘܬ ܐܦܣܝܐ	Epistle to the Ephesians
ܚܡܬ	Hama (disambiguation)
10000 (ܡܢܝܢܐ)	10000 (number)
ܒܢܦܫܐ	Violet (color)
ܢܨܪܬ	Nazareth
ܥܕܬܐ ܥܬܝܩܬܐ ܕܡܕܢܚܐ	Ancient Church of the East
ܟܬܒܐ ܕܡܘܪܡܘܢ	Book of Mormon
ܠܝܢܕܐ ܓܘܪܓ	Linda George (Assyrian singer)
ܐܝܓܢܐܛܝܘܣ ܡܘܫܐ ܩܕܡܝܐ ܕܐܘܕ	Ignatius Moses I Daoud
ܒܫܐܪܐ ܦܛܪܘܣ ܐܠܪܐܥܝ	Bechara Boutros al-Rahi
ܡܪܝ ܦܘܠܝܩܪܦܘܣ ܐܘܓܝܢ ܐܝܕܝܢ	Polycarpus Augin Aydin
ܥܡܢܘܐܝܠ ܬܠܝܬܝܐ ܕܠܝ	Emmanuel III Delly
ܥܡܘ ܒܒܐ	Ammo Baba
ܥܡܘܕܐ ܦܩܪܝܐ	Vertebral column
ܒܝܬ ܫܥܝܐ	Stadium
ܓܘܕ ܫܪܠܘܛ	Good Charlotte
ܒܪ ܨܘܪܐ	Collar (clothing)
ܚܣܚܘܣܐ	Cartilage
ܛܘܪ ܥܒܕܝܢ	Tur Abdin
ܡܪܝ ܩܘܪܝܩܘܣ ܣܗܕܐ ܘܕܝܘܠܝܛܐ ܝܡܗ	Quriaqos and Julietta
ܐܝܣܛܢܒܘܠ (ܗܘܦܪܟܝܐ)	Istanbul Province
ܝܘܢܝܐ	Greeks
ܥܢܟܒܐ	Ankawa
ܓܗܢܐ	Gehenna
ܝܥܩܘܒ ܒܘܪܕܥܢܐ	Jacob Baradaeus
ܐܓܢܛܝܘܣ ܝܘܣܦ ܬܠܝܬܝܐ ܝܘܢܢ	Ignatius Joseph III Yonan
ܡܪܝ ܕܢܚܐ ܪܒܝܥܝܐ	Dinkha IV
ܬܠܫܝܬܐ ܕܩܛܠܐ ܕܐܕܘܠܦ ܗܝܛܠܪ	Assassination attempts on Adolf Hitler
ܚܟܐܪܝ	Hakkari
ܬܐܓܘܪܬܐ	Trade
ܡܛܟܣܬܐ ܐܬܘܪܝܬܐ ܕܝܡܩܪܛܝܬܐ	Assyrian Democratic Organization
ܡܪܝ ܐܦܪܝܡ	Aprem Mooken
ܐܪܕܢ	Araden
ܡܬܐ	Heimat
ܫܝܪܢܐܟ (ܗܘܦܪܟܝܐ)	Şırnak Province
ܥܘܩܣܐ	Stinger
ܟܗܢܘܬܐ	Holy orders
ܚܒܘܪ	Khabur River
ܗܕܡܐ ܓܘܝܐ	Organ (anatomy)
ܡܥܠܘܠܐ	Ma'loula
ܐܘܪܘܦܐ	Europa
ܡܕܝܕ	Midyat
ܙܘܥܐ ܕܝܡܘܩܪܛܝܐ ܐܬܘܪܝܐ	Assyrian Democratic Movement
ܐܣܝܪܝܣܩܐ	Assyriska FF
ܥܕܬܐ ܣܘܪܝܝܬܐ ܩܬܘܠܝܩܝܬܐ	Syriac Catholic Church
ܡܘܕܟܐ	Seasoning
ܥܨܘܒܐ	Surgeon
ܐܘܣܛܪܠܝܐ	Australia (disambiguation)
ܡܦܩܬܐ ܦܫܝܛܬܐ	Peshitta
ܐܪܚܘܬܐ	Hospitality
ܫܪܓܐ ܕܢܦܛܐ	Oil lamp
ܚܘܐ	Eve
ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	Governorates of Iraq
ܪܘܡܪܡܐ	Roomrama
ܩܛܠܥܡܐ ܐܬܘܪܝܐ	Assyrian genocide
ܚܬܢܐ (ܒܝܬܝܘܬܐ)	Bridegroom
ܒܝܬ ܟܬܒܐ ܕܐܫܘܪ ܒܢܐܦܠ	Library of Ashurbanipal
ܣܪܦܝܘܢ	Sacramentary of Serapion of Thmuis
ܒܕܘܩܐ	Scouting
ܥܘܕܪܢܐ:ܚܒܝܫܬ̈ܐ	Help:Contents
ܓܦܬܐ	Vine
ܡܝܟܐܝܠ	Michael (disambiguation)
ܙܒܐ	Little Zab
ܣܢܐܓܪܘܬܐ ܕܩܕܝܫܐ	Intercession of saints
ܐܝܓܢܐܛܝܘܣ ܙܟܝ ܩܕܡܝܐ ܥܝܘܐܨ	Ignatius Zakka I Iwas
ܐܣܛܘܡܟܐ	Stomach
ܟܢܘܢܬܐ ܕܪܓܠܐ	Tarsus (skeleton)
ܓܢܬܐ	Garden
ܕܪܓܘܫܬܐ	Bassinet
ܒܪܐ (ܐܠܗܐ)	God the Son
ܚܝܠܐ ܠܒܢܝܐ	Lebanese Forces
ܐܠܩܘܫ	Alqosh
ܐܘܪܗܝ	Edessa
ܢܩܘܫܐ	Semantron
ܘܝܩܝܦܕܝܐ:ܐܝܙܓܕܘܬܐ	Wikipedia:Embassy
ܫܠܝܬܐ	Placenta
ܕܘܢܝ ܓܘܪܓ ܝܘܚܢܢ	Donny George Youkhanna
ܒܝܬ ܛܘܣܐ	Airport
ܒܝܬ ܫܡܪܝܐ	Samaria
ܐܓܢܣ ܡܘ	Agnez Mo
ܡܪܝ ܝܘܣܦ ܚܢܢܝܫܘܥ	Yosip Khnanisho
ܪܘܦܐܝܠ ܩܕܡܝܐ ܒܝܬ ܕܘܝܕ	Raphael I Bidawid
ܦܪܢܣܘ ܗܪܝܪܝ	Franso Hariri
ܓܝܠܒܪܛܘ ܩܘܢܣܦܣܝܘܢ ܕܗ ܓܪܣܝܐ	Gilberto Concepción de Gracia
ܣܕܪܐ:ܓܪܡܢ	Category:Germany
ܣܕܪܐ:ܐܝܛܠܝܐ	Category:Italy
ܣܕܪܐ:ܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:United States
ܣܕܪܐ:ܪܘܣܝܐ	Category:Russia
ܣܕܪܐ:ܩܢܕܐ	Category:Canada
ܣܕܪܐ:ܐܝܣܪܐܝܠ	Category:Israel
ܣܕܪܐ:ܛܘܪܩܝܐ	Category:Turkey
ܣܕܪܐ:ܡܨܪܝܢ	Category:Egypt
ܣܕܪܐ:ܐܝܪܐܢ	Category:Iran
ܕܝܪܐ ܕܡܪܝ ܓܒܪܐܝܠ	Mor Gabriel Monastery
ܥܐܕܐ	Holiday
ܣܕܪܐ:ܥܝܪܐܩ	Category:Iraq
ܣܕܪܐ:ܗܘܠܢܕܐ	Category:Netherlands
ܣܕܪܐ:ܦܘܠܢܕ	Category:Poland
ܣܕܪܐ:ܛܝܪܐ	Category:Birds
ܣܕܪܐ:ܝܥܝܬܐ	Category:Plants
ܣܕܪܐ:ܬܘܕܝܬܐ	Category:Religion
ܣܕܪܐ:ܝܕܥܬܐ	Category:Science
ܩܘܠ ܬܘܪܗ	Kol Torah
ܦܪܡܬܐ ܕܣܡܠܐ	Simele massacre
ܓܪܫܘܢܝ	Garshuni
ܕܝܢܐ (ܡܬܐ)	Diana, Iraq
ܨܘܒܐ	Nusaybin
ܕܪܥܐ (ܗܘܦܪܟܝܐ)	Daraa Governorate
ܢܥܘܡ ܦܐܝܩ	Naum Faiq
ܣܕܪܐ ܕܦܛܪܝܪܟܐ ܕܥܕܬܐ ܕܡܕܢܚܐ	List of Patriarchs of the Church of the East
ܩܠܒܐ:Box-footer	Template:Box-footer
ܕܝܪܐ ܕܟܘܪܟܡܐ	Mor Hananyo Monastery
ܢܩܘܕ	Niqqud
ܚܝܠܐ	Physical strength
ܝܘܠ ܦܘܪܕܒܢܕ	Joël Voordewind
ܡܪܝ ܢܪܣܝ ܕܒܙ	Mar Narsai D'Baz
ܡܪܝܡ (ܚܬܗ ܕܡܘܫܐ)	Miriam
ܨܡܘܪܬܐ	Fang
ܡܪܝ ܬܐܘܡܐ ܕܪܡܘ	Thoma Darmo
ܣܕܪܐ:ܬܘܚܡܐ ܐܚܪܢܐ	Category:Disambiguation pages
ܣܕܪܐ:ܡܫܝܚܝܘܬܐ	Category:Christianity
ܣܕܪܐ:ܐܣܠܐܡ	Category:Islam
ܣܕܪܐ:ܝܗܘܕܝܘܬܐ	Category:Judaism
ܦܩܥܬܐ ܕܢܝܢܘܐ	Nineveh plains
ܠܩܐ ܕܣܦܝܢܬܐ	Oar
ܚܪܒܘܩܬܐ	Buttonhole
ܝܘܚܢܢ ܕܘܠܒܢܝ	Philoxenos Yuhanon Dolabani
ܫܡܥܘܢ ܒܪܨܒܥܐ	Shemon Bar Sabbae
ܬܪܢܓܠܐ	Rooster
ܟܦܫܢܐ	Kefshenne
ܗܠܢܐ	Halana
ܫܩܠܒܕ	Shaqlawa
ܙܚܘܪܝܬܐ (ܓܘܢܐ)	Scarlet (color)
ܐܢܩܪܐ (ܗܘܦܪܟܝܐ)	Ankara Province
ܐܢܕܪܐܘܣ	Andre
ܐܝܪܠܢܕ	Ireland (disambiguation)
ܟܬܒܬ ܐܝܕܐ	Handwriting
ܬܠ ܟܐܦܐ	Tel Keppe
ܝܘܢܢ	Jonah
ܫܡܐ ܕܝܠܝܕܘܬܐ	Name at birth
ܐܨܪܐ	Condiment
ܕܝܪܝܟ	Al-Malikiyah
ܒܪܛܠܐ	Bartella
ܡܪܩܩܐ	Hypochondrium
ܐܓܐ ܦܛܪܘܣ	Agha Petros
ܥܝܒܐ	Nimbus cloud
ܫܘܫܡܬܐ	Sesame
ܣܕܪܐ:ܘܝܩܝܦܕܝܐ	Category:Wikipedia categories
ܣܕܪܐ:ܝܒܫܬܐ	Category:Continents
ܒܓܕܝܕܐ	Bakhdida
ܦܘܙܝ ܗܪܝܪܝ	Fawzi Hariri
ܝܙܦܬܐ	Debt
ܟܠܕܝܐ	Chaldean Christians
ܦܨܝܕܐ	Pond
ܐܪܓܘܢܐ	Purple
ܢܘܪܢܝܐ	Pyramid (geometry)
ܘܝܩܝܦܕܝܐ:HotCat	Wikipedia:HotCat
ܡܪܝ ܓܒܪܐܝܠ	Mor Gabriel
ܓܒܐ ܕܚܐܪܘܬܐ ܕܒܝܬ ܢܗܪܝܢ	European Syriac Union
ܒܛܐ	Duck
ܚܘܝܕܐ ܬܒܝܠܝܐ ܐܬܘܪܝܐ	Assyrian Universal Alliance
ܓܒܐ ܕܦܘܪܩܢܐ ܕܐܬܘܪ	Assyria Liberation Party
ܒܗܪܐ (ܓܠܝܘܢܐ)	Bahra
ܗܝܟܠܐ ܕܫܠܝܡܘܢ	Temple in Jerusalem
ܠܘܝܣ ܪܘܦܐܝܠ ܩܕܡܝܐ ܣܟܘ	Louis Raphael I Sako
ܩܠܒܐ:ܓܕܫܐ ܗܫܝܐ	Template:In the news
ܣܕܪܐ:ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Category:Countries
ܘܝܩܝܦܕܝܐ:ܡܕܒܪܢܐ	Wikipedia:Administrators
ܣܕܪܐ:ܫܕܬܐ	Category:Occupations
ܘܝܩܝܦܕܝܐ:ܒܘܬ̈ܐ	Wikipedia:Bots
ܣܕܪܐ:ܙܒܢܐ	Category:Time
ܣܕܪܐ:ܙܘܙܐ	Category:Money
ܣܕܪܐ:ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Category:Anatomy
ܣܕܪܐ:ܐܣܝܘܬܐ	Category:Medicine
ܬܠܐ ܙܩܝܦܐ	Tesqopa
ܓܘܠܝܢܐ ܓܢܕܐ	Juliana Jendo
ܟܪܡܠܫ	Karamlish
ܫܡܥܘܢ (ܫܡܐ)	Simon (given name)
ܦܪܝܕܘܢ ܐܬܘܪܝܐ	Freydun Atturaya
ܓܒܪܐܝܠ ܐܣܥܕ	Gabriel Asaad
ܡܪܝ ܢܪܣܝ ܬܐܘܡܐ	Narsai Toma
ܗܪܡܙܕ ܐܒܘܢܐ	Hirmis Aboona
ܝܘܢܕܡ ܝܘܣܦ ܟܢܐ	Yonadam Kanna
ܐܫܘܪ ܒܝܬ ܣܪܓܝܣ	Ashur Bet Sargis
ܝܥܩܘܒ ܐܘܓܝܢ ܡܢܢܐ	Eugene Manna
ܡܪܝ ܥܒܕܝܝܫܘܥ ܕܨܘܒܐ	Abdisho bar Berika
ܗܪܝܪ	Harir
ܡܨܪܝܢ	Egypt
ܓܒܥܕܝܢ	Jubb'adin
ܩܠܒܐ:Bot	Template:Bot
ܩܢܕܐ	Canada
ܣܕܪܐ:ܝܘܢ	Category:Greece
ܣܕܪܐ:ܣܘܝܕ	Category:Sweden
ܡܝܟܐܝܠ ܒܝܬ ܣܗܕܐ	Mikhail Sado
ܩܠܒܐ:ܐܫܛܪܘܬܐ	Template:Documentation
ܣܕܪܐ:User languages	Category:Wikipedians by language
ܡܪܝ ܐܦܪܝܡ ܢܬܢܝܐܝܠ	Aprem Natniel
ܐܫܘܪ ܝܘܣܦ	Ashur Yousif
ܦܘܠܚܢܐ	Business
ܩܠܒܐ:Softredirect	Template:Soft redirect
ܩܠܒܐ:Delete	Template:Db
ܒܪܒܥܫܡܝܢ	Barba'shmin
ܡܓܕܠܐ (ܩܪܝܬܐ)	Magdala
ܣܕܪܐ:ܛܟܢܘܠܘܓܝܐ	Category:Technology
ܓܒܪܐܝܠ (ܫܡܐ)	Gabriel (name)
ܡܝܟܐܝܠ (ܫܡܐ)	Michael
ܣܕܪܐ:ܠܫܢܐ	Category:Languages
ܣܕܪܐ:ܩܢܘܢܐ ܕܠܥܙܐ	Category:Grammar
ܘܝܩܝܦܕܝܐ:General disclaimer	Wikipedia:General disclaimer
ܡܪܘܢܝܐ	Maronites
ܣܕܪܐ:Noindexed pages	Category:Noindexed pages
ܘܝܩܝܦܕܝܐ:ܕܘܒܪܐ	Wikipedia:Manual of Style
ܩܠܒܐ:Navbox	Template:Navbox
ܐܝܓܢܐܛܝܘܣ ܐܦܪܝܡ ܬܪܝܢܐ	Ignatius Aphrem II
ܕܪܒܢܕܘܟܐ	Darbandokeh
ܣܕܪܐ:ܩܠܒܐ ܐܬܘܬܐ ܕܐܝܣܘ	Category:Flag templates
ܩܠܒܐ:ܡܦܐܬܐ ܩܠܒܐ	Template:Navbar
ܩܠܒܐ:Clear	Template:Clear
ܘܝܩܝܦܕܝܐ:ܡܟܬܒܘܬܐ ܕܡܓܠܐ ܠܟܠ ܘܝܩܝܦܕܝܐ	Wikipedia:Vital articles
ܣܕܪܐ:ܐܠܝܩܛܪܘܢܝܘܬܐ	Category:Electronics
ܣܕܪܐ:ܝܪܚܐ ܕܫܢܬܐ	Category:Months
ܩܠܒܐ:Babel	Template:Babel
ܩܠܒܐ:Commons	Template:Commons
ܩܠܒܐ:Reflist	Template:Reflist
ܩܠܒܐ:User ar-1	Template:User ar-1
ܩܠܒܐ:User az	Template:User az
ܩܠܒܐ:See also	Template:See also
ܩܠܒܐ:User de	Template:User de
ܩܠܒܐ:User es	Template:User es
ܩܠܒܐ:User en-3	Template:User en-3
ܩܠܒܐ:User en-1	Template:User en-1
ܩܠܒܐ:User en-2	Template:User en-2
ܩܠܒܐ:User en-4	Template:User en-4
ܩܠܒܐ:User en-0	Template:User en-0
ܩܠܒܐ:User en	Template:User en
ܩܠܒܐ:User fa	Template:User fa
ܩܠܒܐ:User fr-1	Template:User fr-1
ܩܠܒܐ:User he-2	Template:User he-2
ܩܠܒܐ:User he-1	Template:User he-1
ܩܠܒܐ:User sk	Template:User sk
ܩܠܒܐ:User tr	Template:User tr
ܩܠܒܐ:User ja	Template:User ja
ܩܠܒܐ:User fr	Template:User fr
ܩܠܒܐ:User he	Template:User he
ܣܕܪܐ:ܐܣܝܐ	Category:Asia
ܣܕܪܐ:ܕܪܐ ܕܥܣܪܝܢ ܘܚܕ	Category:21st century
ܩܠܒܐ:Mod	Template:Mod
ܩܠܒܐ:User sv	Template:User sv
ܩܠܒܐ:Infobox language/codelist	Template:Infobox language/codelist
ܩܠܒܐ:User it	Template:User it
ܣܕܪܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Category:Days of the week
ܣܕܪܐ:ܐܨܪܐ	Category:Condiments
ܩܠܒܐ:ܝܗܘܝܬܐ Peru	Template:Country data Peru
ܩܠܒܐ:ܝܗܘܝܬܐ Paraguay	Template:Country data Paraguay
ܩܠܒܐ:Edit	Template:Edit
ܩܠܒܐ:ܝܗܘܝܬܐ French Guiana	Template:Country data Guyana
ܩܠܒܐ:ܝܗܘܝܬܐ Argentina	Template:Country data Argentina
ܩܠܒܐ:Navbox suite	Template:Navbox suite
ܩܠܒܐ:Category other	Template:Category other
ܩܠܒܐ:ܡܟܬܒܢܘܬܐ ܕܝܦܬܐ	Template:Collapsible list
ܩܠܒܐ:Sidebar	Template:Sidebar
ܩܠܒܐ:Ambox	Template:Ambox
ܩܠܒܐ:Navigation templates	Template:Navigation templates
ܩܠܒܐ:ܐܬܪܐ	Template:Infobox country
ܩܠܒܐ:ܝܬܝܪ	Template:Cat more
ܩܠܒܐ:/box-header	Template:Box-header
ܣܕܪܐ:User en	Category:User en
ܣܕܪܐ:User zh	Category:User zh
ܩܠܒܐ:ܐܠܦܒܝܬ ܥܪܒܝܐ	Template:Arabic-script sidebar
ܣܕܪܐ:User zh-N	Category:User zh-N
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ2	Template:Infobox
ܩܠܒܐ:User zh	Template:User zh
ܩܠܒܐ:ܐܫܛܪܘܬܐ/ܨܢܕܘܩ ܫܪܝܬܐ	Template:Documentation/start box
ܩܠܒܐ:Documentation/end box2	Template:Documentation/end box2
ܩܠܒܐ:Documentation/start box2	Template:Documentation/start box2
ܩܠܒܐ:ܩܠܒܐ ܐܚܪܝܢܐ	Template:Template other
ܚܒܝܒ ܡܘܣܐ	Habib Mousa
ܩܠܒܐ:ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Template:Latin alphabet sidebar
ܣܕܪܐ:ܦܐܦܐ	Category:Popes
ܩܠܒܐ:Pp-template	Template:Pp-template
ܩܠܒܐ:User nl-1	Template:User nl-1
ܩܠܒܐ:User nl-2	Template:User nl-2
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ	Category:Presidents
ܩܠܒܐ:User ru	Template:User ru
ܩܠܒܐ:IPA	Template:IPA
ܣܕܪܐ:ܗܪܘܡܐ	Category:Spices
ܣܕܪܐ:ܦܠܫܬ	Category:Palestine
ܣܕܪܐ:ܡܠܐܟܐ	Category:Angels
ܣܕܪܐ:ܢܒܝܐ	Category:Prophets
ܩܠܒܐ:Rellink	Template:Rellink
ܩܠܒܐ:Category redirect	Template:Category redirect
ܩܠܒܐ:ܝܗܘܝܬܐ Venezuela	Template:Country data Venezuela
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܒܪܢܐ	Template:Infobox officeholder
ܩܠܒܐ:Sortname	Template:Sortname
ܩܠܒܐ:Border	Template:Border
ܩܠܒܐ:ܡܢܝܢܐ ܕܝܪܚܐ	Template:MONTHNUMBER
ܩܠܒܐ:ܪܕ	Template:Fmbox
ܩܠܒܐ:ܝܗܘܝܬܐ Chile	Template:Country data Chile
ܩܠܒܐ:GUA	Template:GTM
ܚܢܢܝܫܘܥ ܐ ܚܓܝܪܐ	Hnanisho I
ܩܠܒܐ:User nl	Template:User nl
ܩܠܒܐ:ܡܣܦܩ ܩܐܫ	Template:Purge
ܩܠܒܐ:ܨܢܕܘܩ ܐܡܢܐ	Template:Infobox artist
ܩܠܒܐ:ܡܦܠܚܢܐ	Template:User
ܣܕܪܐ:ܬܘܢܣ	Category:Tunisia
ܩܠܒܐ:Sec link auto	Template:Sec link auto
ܩܠܒܐ:Cmbox	Template:Cmbox
ܩܠܒܐ:Mbox	Template:Mbox
ܩܠܒܐ:Oppose	Template:Disagree
ܩܠܒܐ:COL	Template:COL
ܩܠܒܐ:PER	Template:PER
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܥܐ ܕܝܒܫܬܐ	Template:Infobox continent
ܩܠܒܐ:User ar-2	Template:User ar-2
ܩܠܒܐ:User ar-3	Template:User ar-3
ܩܠܒܐ:User ar	Template:User ar
ܩܠܒܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Template:Days of the week
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܘܚܕܢܐ ܡܚܝܕܐ	Category:Cities in the United States
ܩܠܒܐ:ܬ.ܐ.	Template:Disambiguation
ܩܠܒܐ:No	Template:Not done
ܣܕܪܐ:ܩܠܒܐ ܨܢܕܘܩܐ	Category:Infobox templates
ܩܠܒܐ:Partial	Template:Partial
ܩܠܒܐ:UsersSpeak	Template:UsersSpeak
ܩܠܒܐ:ܩܘܕܝܟܘܣ ܕܣܕܪܐ	Template:Category TOC
ܩܠܒܐ:?	Template:?
ܩܠܒܐ:ܝܗܘܝܬܐ Colombia	Template:Country data Colombia
ܩܠܒܐ:User ar-5	Template:User ar-5
ܣܕܪܐ:User yue	Category:User yue
ܣܕܪܐ:User az	Category:User az
ܣܕܪܐ:User sk	Category:User sk
ܣܕܪܐ:User fr	Category:User fr
ܣܕܪܐ:User ja	Category:User ja
ܣܕܪܐ:User la	Category:User la
ܣܕܪܐ:User pt	Category:User pt
ܣܕܪܐ:User ro	Category:User ro
ܣܕܪܐ:User sv	Category:User sv
ܣܕܪܐ:User ko-N	Category:User ko-N
ܡܪܝ ܝܫܘܥ	Karakilise, Şemdinli
ܩܠܒܐ:User yue	Template:User yue
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	Category:Governorates of Iraq
ܩܠܒܐ:Cat main	Template:Cat main
ܣܕܪܐ:User ar	Category:User ar
ܣܕܪܐ:User arc	Category:User arc
ܣܕܪܐ:User da	Category:User da
ܣܕܪܐ:User sk-N	Category:User sk-N
ܣܕܪܐ:User de	Category:User de
ܣܕܪܐ:User el	Category:User el
ܣܕܪܐ:User en-N	Category:User en-N
ܣܕܪܐ:User es	Category:User es
ܣܕܪܐ:User fa	Category:User fa
ܣܕܪܐ:User fi	Category:User fi
ܣܕܪܐ:User he	Category:User he
ܩܠܒܐ:N/a	Template:N/a
ܣܕܪܐ:User hy	Category:User hy
ܣܕܪܐ:ܠܫܢܐ ܥܒܪܝܐ	Category:Hebrew language
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܝܣܪܐܝܠ	Category:Cities in Israel
ܣܕܪܐ:User it	Category:User it
ܣܕܪܐ:User ko	Category:User ko
ܣܕܪܐ:ܒܬܫܪܝܢ ܐܚܪܝ	Category:November
ܣܕܪܐ:ܝܡܡܐ	Category:Seas
ܩܠܒܐ:ܐܠܦܒܝܬ ܝܘܢܝܐ	Template:Greek alphabet sidebar
ܩܠܒܐ:No2	Template:No2
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܣܘܪܝܝܬܐ ܩܬܘܠܝܩܝܬܐ	Category:Syriac Catholic Patriarchs of Antioch
ܩܠܒܐ:Languages	Template:Languages
ܩܠܒܐ:Rh	Template:Rh
ܩܠܒܐ:ܡܢܝܢܐ ܕܡܡܪܐ ܦܪܝܫܐ	Template:FA number
ܩܠܒܐ:User tmr-3	Category:User tmr-3
ܩܠܒܐ:User tmr-2	Category:User tmr-2
ܩܠܒܐ:ܢܒܝܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ	Template:Prophets of the Tanakh
ܩܠܒܐ:ܣܡܘܩܐ	Template:Red
ܣܕܪܐ:ܒܝܬܝܘܬܐ	Category:Kinship and descent
ܩܠܒܐ:ܝܗܘܝܬܐ Brazil	Template:Country data Brazil
ܩܠܒܐ:Yes2	Template:Yes2
ܩܠܒܐ:Yes-No	Template:Yes-No
ܬܪܥܐ:ܬܘܕܝܬܐ	Portal:Religion
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܥܠ ܐܬܪܐ	Category:Presidents by country
ܣܕܪܐ:User ru	Category:User ru
