आफ्रिकाखण्डः	Africa
जाह्न	John
आगमः	Agama
मार्गशीर्षमासः	Agrahayana
अहमदाबादमण्डलम्	Ahmedabad district
अहमदनगरमण्डलम्	Ahmednagar district
मातारामराजवंशः	Medang Kingdom
कारगिलयुद्धम्	Kargil War
शरत् चन्द्र चट्टोपाध्याय	Sarat Chandra Chattopadhyay
ऐहोळे	Aihole
पोप जान पाल	Pope John Paul
अजमेरमण्डलम्	Ajmer district
यवाग्रजः	Ajwain
अक्बरपुरम्, अम्बेडकरनगरम्	Akbarpur, Ambedkar Nagar
ग्	Ga (Indic)
सुशील कोइराला	Sushil Koirala
खाद्यतैलम्	Cooking oil
रामनगरमण्डलम्	Ramanagara district
कारवेल्लम्	Momordica charantia
बळ्ळारीमण्डलम्	Bellary
पाटलः	Pink
उत्तरपूर्वदेहलीमण्डलम्	North East Delhi
कृष्णजन्माष्टमी	Krishna Janmashtami
काल्मेट् लियान् चारल्स् आल्बर्ट्	Albert Calmette
अलवरमण्डलम्	Alwar district
अमर गोपाल बोस	Amar Bose
अमरनाथः	Amarnath Temple
अम्बाला	Ambala
अम्बेडकरनगरमण्डलम्	Ambedkar Nagar district
आमेर	Amer Fort
बीदरनगरम्	Bidar
सोलन्	Solan
महाबळेश्वरम्	Mahabaleshwar
माथेरान्	Matheran
माथेरान् पर्वतीयधूमशकटयानम्	Matheran Hill Railway
सायना नेहवाल	Saina Nehwal
एनी बेसन्ट्	Annie Besant
डि. के. पट्टम्माळ्	D. K. Pattammal
जयललिता	Jayalalithaa
आण्डाळ्	Andal
ममता ब्यानर्जी	Mamata Banerjee
विजयलक्ष्मी पण्डित	Vijaya Lakshmi Pandit
अञ्जु बाबी जार्ज्	Anju Bobby George
एम् एस् सुब्बुलक्ष्मी	M. S. Subbulakshmi
माता अमृतानन्‍दमयी	Mata Amritanandamayi
सुल्ताना ऱसीया	Razia Sultana
1.4 वृत्तिसारूप्यमितरत्र …	Banyan
मीराबाई	Meera
महादेवी वर्मा	Mahadevi Varma
होय्सळवंशः	Hoysala Empire
आसनम्	Asana
भारतीयलिपयः	Brahmic scripts
कनिमोऴि	Kanimozhi
कर्णम मल्लेश्वरी	Karnam Malleswari
गुरु हरकिशन	Guru Har Krishan
विजय् अमृतराज्	Vijay Amritraj
लाल कृष्ण आडवाणी	L. K. Advani
जे.आर्.डि.टाटा	J. R. D. Tata
अलि अक्बर् खान्	Ali Akbar Khan
साधुः तुकारामः	Tukaram
धीरूभाई अम्बाणी	Dhirubhai Ambani
श्री श्री रविशङ्करः	Ravi Shankar (spiritual leader)
तानसेनः	Tansen
भैरोंसिंह शेखावत	Bhairon Singh Shekhawat
बाबा आमटे	Baba Amte
सर् जेम्स् सिम्सन्	James Young Simpson
प्रथम कुमारगुप्तः	Kumaragupta I
राहुल द्रविड	Rahul Dravid
महेन्द्र सिंह धोनी	Mahendra Singh Dhoni
करुणानिधिः	Karunanidhi
विनायक दामोदर सावरकर	Vinayak Damodar Savarkar
एडवर्ड बालियोल	Edward Balliol
लवनीयम्	Annona reticulata
कार्तिकमासः	Kartik (month)
विवाहसंस्कारः	Vivaah
कूर्मावतारः	Kurma
भारतस्य संविधानम्	Constitution of India
चार्वाकदर्शनम्	Cārvāka
गोमतीनदी	Gomti River
कशेरुः	Vertebral column
लुईस नानी	Nani
मानवरहितविमानम्	Unmanned aerial vehicle
मुहम्मद इकबाल	Muhammad Iqbal
मुद्गः	Mung bean
औरङ्गजेबः	Aurangzeb
आणन्दमण्डलम्	Anand district
नद्यावली विस्तारः च	List of rivers by length
हुमायून्	Humayun
अन्दाज (चलच्चित्रम्)	Andaz (1949 film)
श्रीगङ्गानगरम्	Sri Ganganagar
व.उ.चिदम्बरम् पिळ्ळै	V. O. Chidambaram Pillai
भारतस्य प्रधानमन्त्रिणः	List of Prime Ministers of India
शक्तिदेवी	Devi
२०१४ एशिया क्रीडाः	2014 Asian Games
छ्	Cha (Indic)
है हे नदी	Hai River
हृषीकेशः	Rishikesh
अ	Near-open central vowel
सन्तूर् (वाद्यम्)	Santur
मानसवन्यजन्तुधाम	Manas National Park
ज्	Voiced alveolar fricative
गुजरातविश्वविद्यालयः	Gujarat University
मणिपुरीनृत्यम्	Manipuri dance
एजिकील् फ्रैएर्स्	Zeki Fryers
दादा साहेब फाळके	Dadasaheb Phalke
मडगांव	Margao
अकोलामण्डलम्	Akola district
गदग	Gadag-Betageri
अर्कसस्यम्	Calotropis gigantea
आजमगढ-नगरम्	Azamgarh
रीवामण्डलम्	Rewa District
दक्षिणदिनाजपुर-मण्डलम्	Dakshin Dinajpur district
किङ्ग्स् ११ पञ्जाबः	Kings XI Punjab
सबाधधावनम्	Hurdling
झालावाड	Jhalawar
दक्षिणभारतम्	South India
बृहदारण्यकोपनिषत्	Brihadaranyaka Upanishad
कगायान	Cagayan River
हुगलिमण्डलम्	Hooghly district
पश्चिमदेहलीमण्डलम्	West Delhi
नाट्यशास्त्रम् (ग्रन्थः)	Natya Shastra
प्राचीनगोवा	Old Goa
बसप्प दानप्प जत्ति	B. D. Jatti
रघुवीरः	Raghu Vira
बि.के.एस्. अय्यङ्गार्	B. K. S. Iyengar
मुहम्मद हिदायतुल्लाह	Mohammad Hidayatullah
कपिलदेवः	Kapil Dev
दिङ्नागः	Dignāga
भरतपुरम्	Bharatpur, Rajasthan
अनुपम खेर	Anupam Kher
चित्तरञ्जन दास	Chittaranjan Das
सौरभ गाङ्गुली	Sourav Ganguly
लालूप्रसाद यादव	Lalu Prasad Yadav
धूमपानरहितदिनम्	No Smoking Day
झार्सुगुड मण्डलम्	Jharsuguda district
उशनाः	Shukra
कदम्बः	Neolamarckia cadamba
के.एस्.सुदर्शनजी	K. S. Sudarshan
वडोदरामण्डलम्	Vadodara district
उत्तरकन्नडमण्डलम्	Uttara Kannada
पाटण	Patan, Gujarat
कूर्मपुराणम्	Kurma Purana
औराद	Aurad
अलीराजपुरम्	Alirajpur
औरैया	Auraiya
वैश्विकहस्तक्षालनदिनम्	Global Handwashing Day
अक्बरपुरम्, रमाबायीनगरम्	Akbarpur, Kanpur Dehat
अथणी (कर्णाटकम्)	Athani, Karnataka
उडुपीमण्डलम्	Udupi
अम्रोहा	Amroha
बलियामण्डलम्	Ballia district
त्रिभुवन विश्वविद्यालय	Tribhuvan University
आनॆकल्	Anekal
बदरीनाथः	Badrinath
अल्मोडा	Almora
अमरकण्टक	Amarkantak
अनूपपुरम्	Anuppur
अशोकनगरम्	Ashoknagar
अमरेली	Amreli
अम्बाजी (आरासुर)	Ambaji
एडवर्ड ८	Edward VIII
अरोविले	Auroville
बादामी	Badami
मैसूरुमण्डलम्	Mysore district
औरङ्गाबादमण्डलम्	Aurangabad district, Maharashtra
बुरहानपुरम्	Burhanpur
कुरुक्षेत्रम्	Kurukshetra
पन्ना	Panna, India
न्यायदर्शनम्	Nyaya
राजसमन्दमण्डलम्	Rajsamand district
सिन्धुलिपिः	Indus script
भारतीयमानकसमयः	Indian Standard Time
मण्डला	Mandla
कुसुमकन्दरराष्ट्रियोद्यानम्	Valley of Flowers National Park
हितोपदेशः	Hitopadesha
आग्रामण्डलम्	Agra district
सोनभद्रमण्डलम्	Sonbhadra district
रमाबायीनगरमण्डलम्	Kanpur Dehat district
पश्चिमसिक्किममण्डलम्	West Sikkim district
बलरामपुरम्	Balrampur
अनुस्वारः	Anusvara
कन्नौज	Kannauj
धार	Dhar
सेवफलरसः	Apple juice
उदय कुमार धर्मलिङ्गम्	Udaya Kumar (designer)
भारतस्य राष्ट्रियग्रन्थालयः	National Library of India
श्योपुरमण्डलम्	Sheopur district
अङ्गुली	Finger
उमरियामण्डलम्	Umaria district
रसः	Rasa (aesthetics)
होशङ्गाबादमण्डलम्	Hoshangabad district
होशङ्गाबाद	Hoshangabad
भारतीयप्रौद्योगिकसंस्थानानि (IIT)	Indian Institutes of Technology
दधि	Curd
कर्णवेधसंस्कारः	Karnavedha
बागपत्	Baghpat
अरावली	Aravalli Range
कन्नौजमण्डलम्	Kannauj district
गुरु हर राय	Guru Har Rai
साबरमतीनदी	Sabarmati River
दीव	Diu, India
जबलपुरमण्डलम्	Jabalpur district
तुवरी	Pigeon pea
बाराबङ्कीमण्डलम्	Barabanki district
बांसवाडा	Banswara
नारिकेलजलम्	Coconut water
बैलहोङ्गल्	Bailhongal
उत्तानपादासनम्	Uttanapadasana
बहरैच्	Bahraich
बागेश्वरम्	Bageshwar
कारैकलमण्डलम्	Karaikal district
माहेमण्डलम्	Mahe district
वराहपुराणम्	Varaha Purana
पाण्डीचेरीनगरम्	Pondicherry
स्त्रीशिक्षणम्	Women in India
उरयी	Orai
बालाघाट	Balaghat
बालाघाटमण्डलम्	Balaghat district
आश्विनमासः	Ashvin
रावेल मॉरिसन	Ravel Morrison
एलिफेण्टागुहाः	Elephanta Caves
सर्वभारतीय-अण्णा द्राविड मुन्नेत्र कळगम् (ए आइ ए डि एम् के)	All India Anna Dravida Munnetra Kazhagam
शुङ्गवंशः	Sunga Empire
वैशेषिकदर्शनम्	Vaisheshika
चणकपिष्टम्	Gram flour
फीरोजपुर	Firozpur
कूष्माण्डम्	Winter melon
रतलाम	Ratlam
श्रीरङ्गपट्टणम्	Srirangapatna
सिर्मौरमण्डलम्	Sirmaur district
स्थिरवलयलम्	Rings (gymnastics)
बाबरी मस्जिद	Babri Masjid
गान्धिजयन्ती	Gandhi Jayanti
खोर्धा मण्डलम्	Khordha district
वेष्ट्-इण्डीस्	Caribbean
देहलीविश्वविद्यालयः	University of Delhi
केरळस्य सागरपूर्वजलप्रवासः	Kerala backwaters
मसूरी	Mussoorie
रागीपानीयम्	Gruel
तापीमण्डलम्	Tapi district
बून्दीमण्डलम्	Bundi district
श्रीकाकुलम्	Srikakulam
जोग जलपातः	Jog Falls
ज्येष्ठा	Jyeshtha (nakshatra)
अब्बिजलपातः	Abbey Falls
नौशाद अली	Naushad
लार्नेल कोल	Larnell Cole
हेन्री ७	Henry VII of England
तेलङ्गाणाराज्यम्	Telangana
राष्ट्रपतिभवनम्	Rashtrapati Bhavan
सत्यमेव जयते	Satyameva Jayate
श्रीमद्भागवतपुराणम्	Bhagavata Purana
पिप्पली	Long pepper
भद्रक् मण्डलम्	Bhadrak district
भरद्वाजमहर्षिः	Bharadwaja
अबनीन्द्रनाथ ठाकुर	Abanindranath Tagore
शौचम्	Cleanliness
युग्मदण्डम्	Parallel bars
नान्देडमण्डलम्	Nanded district
उत्तरदेहलीमण्डलम्	North Delhi
मौण्ट् अबु	Mount Abu
महाचोळमन्दिराणि	Great Living Chola Temples
संसद्‍ (भारतम्)	Indian Parliament
तापीनदी	Tapti River
द्वितीयपुलिकेशिः	Pulakesi II
बसवनबागेवाडी	Basavana Bagewadi
बसवकल्याणम्	Basavakalyan
वराहमूल	Baramulla
औदुम्बरवृक्षः	Ficus racemosa
बस्ति, उत्तरप्रदेशः	Basti district
वाल्मीकिः	Valmiki
आर्यसमाजः	Arya Samaj
इक्षुरसः	Sugarcane juice
शाल्मलिः	Bombax
गुरुवायूर्	Guruvayur
दाण्डेली अभयारण्यम्	Dandeli
बेलं गुहा	Belum Caves
यु.आर्.अनन्तमूर्तिः	U. R. Ananthamurthy
अशोक सेन	Ashoke Sen
अष्टाङ्गयोगः	Ashtanga vinyasa yoga
काङ्ग्रामण्डलम्	Kangra district
बिम्बफलम्	Coccinia grandis
ऋग्वेदः	Rigveda
गङ्गूबायी हानगल्	Gangubai Hangal
देवरियामण्डलम्	Deoria district
जयप्रकाश नारायण	Jayaprakash Narayan
केदैञै	Kėdainiai
गोपिनाथ बोर्डोलोयि	Gopinath Bordoloi
सायणः	Sayana
विनोद खोसला	Vinod Khosla
चन्द्रशेखर आजाद	Chandra Shekhar Azad
डेल्ली डेर्डेविल्स्	Delhi Daredevils
केदारनाथः	Kedarnath
प्राचीनज्योतिषम्	Hindu astrology
जीन् फ्रान्स्व फर्नेल्	Jean Fernel
मोक्षगुण्डं विश्वेश्वरय्य	Visvesvaraya
फलकम्:Cite book	Parenthetical referencing
डुङ्गरपुरम्	Dungarpur
काव्यविमर्शः	New Criticism
इन्दौरमण्डलम्	Indore district
मृदङ्गः (वाद्यम्)	Mridangam
अश्वारोहक्रीडा	Buzkashi
कटनीमण्डलम्	Katni district
नागार्जुनकोण्ड	Nagarjunakonda
पुष्करनगरम्	Pushkar
भारतस्य सूर्यमन्दिराणि	Konark
मामितमण्डलम्	Mamit district
कोणार्कमन्दिरम्	Konark Sun Temple
रीस ब्राउन	Reece Brown
बाङ्गलालिपिः	Bengali alphabet
अन्ताराष्ट्रिय-साक्षरतादिनम्	International Literacy Day
अशोकवृक्षः	Saraca asoca
अत्रिः	Atri
भद्राचलम्	Bhadrachalam
बेतिया	Bettiah
अनन्तपुरम् (आन्ध्रप्रदेशः)	Anantapur, Andhra Pradesh
भीलवाडा	Bhilwara
भरुच	Bharuch
भाल्की	Bhalki
बेलूरु	Belur
वामनपुराणम्	Vamana Purana
हावेरीमण्डलम्	Haveri district
उत्तरपश्चिमदेहलीमण्डलम्	North West Delhi
अलिगढमण्डलम्	Aligarh district
तळाजा	Talaja
सिन्धुदुर्गमण्डलम्	Sindhudurg district
बसवेश्वरः	Basava
तैत्तिरीयोपनिषत्	Taittiriya Upanishad
महादेवभाई देसाई	Mahadev Desai
नैनिताल	Nainital
छान्दोग्योपनिषत्	Chandogya Upanishad
गंजम् मण्डलम्	Ganjam district
रमोन् मैग्सेसे-पुरस्कारः	Ramon Magsaysay Award
बीकानेरमण्डलम्	Bikaner district
स्केटिङ्ग्	Ice skating
अशोकचक्रम्	Ashoka Chakra
नहान्	Nahan
भारतीय प्रौद्यौगिकी संस्थानम् कानपुर्	Indian Institute of Technology Kanpur
वार्तकीरसः	Tomato juice
अझमगढमण्डलम्	Azamgarh district
सद्गुरु जग्गी वासुदेव	Jaggi Vasudev
बि एम् डब्ल्यू सिक्स् सीरीज्	BMW 6 Series
कूर्मासनम्	Kurmasana
पवनमुक्तासनम्	Pavanamuktasana
अण्डमाननिकोबारद्वीपसमूहस्य मण्डलानि	List of districts of the Andaman and Nicobar Islands
भिण्ड	Bhind
बि एम् डब्ल्यू K1300R	BMW K1300R
बिजनौर	Bijnor
बि एम् डब्ल्यू (i8)	BMW i8
दक्षिण-अण्डमानमण्डलम्	South Andaman district
उत्तरमध्य-अण्डमानमण्डलम्	North and Middle Andaman district
उष्ट्रासनम्	Ustrasana
चक्रासनम्	Chakrasana
नारदपुराणम्	Naradiya Purana
निकोबारमण्डलम्	Nicobar district
बाबरः	Babur
भुज	Bhuj
सरस्‍वती नदी	Ghaggar-Hakra River
बदांयू	Budaun
क्	Ka (Indic)
बहुजनसमाज-पक्षः	Bahujan Samaj Party
बालंगिर् मण्डलम्	Balangir district
बनासकाठामण्डलम्	Banaskantha district
बान्धवगढराष्ट्रियोद्यानम्	Bandhavgarh National Park
बेङ्गळूरुग्रामान्तरमण्डलम्	Bangalore Rural district
बांसवाडामण्डलम्	Banswara district
बर्धमानमण्डलम्	Bardhaman district
बारागर् मण्डलम्	Bargarh district
बाडमेर	Barmer, Rajasthan
बडवानी-नगरम्	Barwani
बीडमण्डलम्	Beed district
बेळगावीमण्डलम्	Belgaum district
अतिथिसत्कारः	Hospitality
विकिरणीयप्रदूषणम्	Radioactive contamination
द्वारकाद्वीपः	Dwarka
पट्टदकल्लु	Pattadakal
ब्राह्मणम्	Brahmana
परशुरामः	Parashurama
संस्कृतसाहित्यशास्त्रम्	Poetics
तिरुपुर	Tiruppur
लाहौल्-स्पितीमण्डलम्	Lahaul and Spiti district
भारतीय भूगोलः	Geography of India
प्राणायामः	Pranayama
कथाकेळिः	Kathakali
कन्नडलिपिः	Kannada alphabet
मन्दारः	Phanera variegata
स्मृतयः	Smriti
फैजाबाद्	Faizabad
नारदः	Narada
माध्यमिकाः	Madhyamaka
कुन्ती	Kunti
चम्पानेर्-पावागढ़-पुरातत्त्वोद्यानम्	Champaner-Pavagadh Archaeological Park
तमिल-विकिपीडिया	Tamil Wikipedia
द्वितीयः चन्द्रगुप्तः	Chandragupta II
महाजनपदाः	Mahajanapada
समासः	Sanskrit compound
योगाचाराः	Yogacara
मीमांसा	Mīmāṃsā
महाशिवरात्रिः	Maha Shivaratri
चन्द्रगुप्तः	Chandragupta I
खण्डशर्करा	Rock candy
दत्तात्रेयः	Dattatreya
वियुग्मदण्डम्	Uneven bars
यथार्थरूपा भगवद्गीता	Bhagavad-Gītā as It Is
भगवान् दास्	Bhagwan Das
भरतपुरमण्डलम्	Bharatpur district
भरुचमण्डलम्	Bharuch district
भावनगरमण्डलम्	Bhavnagar district
भीमा	Bhima River
भूपेन हाजरिका	Bhupen Hazarika
राष्ट्रकूटवंशः	Rashtrakuta dynasty
पाण्डुः	Pandu
भृङ्गराजसस्यम्	Eclipta prostrata
बोम्मनहळ्ळीविधानसभाक्षेत्रम्	Bommanahalli
बृहत्संहिता	Varāhamihira
शक्तिविशिष्टाद्वैतवेदान्तः	Lingayatism
भारतीय प्रौद्यौगिकी संस्थानम् मदरास्	Indian Institute of Technology Madras
बीजुजनतादलम्	Biju Janata Dal
चन्देरी	Chanderi
चम्पावत	Champawat
चमोली गोपेश्वरम्	Chamoli Gopeshwar
चन्द्रपुरम्	Chandrapur
बुलन्दशहर	Bulandshahr
चम्पाय	Champhai
मण्डूकासनम्	84 Classic Yoga Asanas
बून्दी	Bundi
चामराजनगरमण्डलम्	Chamarajanagar district
हलासनम्	Halasana
धनुरासनम्	Dhanurasana
भुजङ्गासनम्	Bhujangasana
पश्चिमोत्तानासनम्	Paschimottanasana
राजगिर	Rajgir
दीमापुर्	Dimapur
चैतन्‍य महाप्रभु	Chaitanya Mahaprabhu
पदतलम्	Sole (foot)
शिल्पकला	Handicraft
इटावा	Etawah
वेलावदर राष्ट्रियोद्यानम्	Blackbuck National Park, Velavadar
भारतस्य राष्ट्रपतयः	List of Presidents of India
वसुदेवः	Vasudeva
द्रोणाचार्यः	Drona
कांशीरामनगरमण्डलम्	Kasganj District
उज्जैनमण्डलम्	Ujjain district
ब्रह्मसूत्राणि	Brahma Sutras
ब्रह्मचर्यम्	Brahmacharya
श्रीराम शंकर अभ्‍यंकर	Shreeram Shankar Abhyankar
जनतादलम्(संयुक्तम्)	Janata Dal (United)
शूद्रः	Shudra
क्यासनर् ह्यामिल्टन् यङ्ग्	Hamilton Castner
गोमयम्	Cow dung
सर्षपतैलम्	Mustard oil
तुमकूरुमण्डलम्	Tumkur
सर्वभारतीयतृणमूलकांग्रेसपक्षः	All India Trinamool Congress
विकिपीडिया:साहाय्यम्	Help:Contents
टोङ्कमण्डलम्	Tonk district
ज्ञानपीठप्रशस्तिः	Jnanpith Award
बृहन्मुम्बै विद्युतापूर्तिः एवं परिवहनसंस्था(बेस्ट्)	Brihanmumbai Electric Supply and Transport
वेदाङ्गम्	Vedanga
लक्ष्मणः	Lakshmana
केतुः	Ketu
सीतापुरम्	Sitapur
धृतराष्ट्रः	Dhritarashtra
द हिन्दू	The Hindu
वासकसस्यम्	Justicia adhatoda
होशियारपुरम्	Hoshiarpur
अलप्पुळामण्डलम्	Alappuzha district
गणेशचतुर्थी	Ganesh Chaturthi
गुनामण्डलम्	Guna district
स्वामी नारायणः	Swaminarayan
रागीधान्यम्	Eleusine coracana
उन्नाव्	Unnao
सिरोही	Sirohi
मोहिनीयाट्टम्	Mohiniyattam
नीमच	Neemuch
पलाशवृक्षः	Butea monosperma
ठाणेमण्डलम्	Thane district
सवाई माधोपुरम्	Sawai Madhopur
अगस्त्यवृक्षः	Sesbania grandiflora
भारतीयविज्ञानसंस्था (IISc)	Indian Institute of Science
पर्यावरणशिक्षा	Environmental education
तुङ्गभद्रा	Tungabhadra River
पद्मश्री-पुरस्कारः	Padma Shri
पालनपुरम्	Palanpur
राहुः	Rahu
दक्षिणकन्नडमण्डलम्	Dakshina Kannada
वैभाषिकाः	Vaibhāṣika
मिर्जापुरम्	Mirzapur
कोप्पळ	Koppal district
हासनमण्डलम्	Hassan district
कर्णाटकसङ्गीतम्	Carnatic music
तुलसी	Ocimum tenuiflorum
वेणुः (वाद्यम्)	Bansuri
मुण्डकोपनिषत्	Mundaka Upanishad
ईश्वरचन्द्र विद्यासागर	Ishwar Chandra Vidyasagar
जगत्सिंगपुर् मण्डलम्	Jagatsinghpur district
वातामक्षीरम्	Almond milk
ब्रह्माण्डपुराणम्	Brahmanda Purana
प्रश्नोपनिषत्	Prashna Upanishad
हिन्दुदेवताः	Hindu deities
वर्धामण्डलम्	Wardha district
एम् एस् स्वामिनाथन्	M. S. Swaminathan
चिदम्बरम् सुब्रह्मण्यम्	Chidambaram Subramaniam
महादेवगोविन्द रानडे	Mahadev Govind Ranade
रमेशकृष्णन्	Ramesh Krishnan
रामकृष्ण हेगडे	Ramakrishna Hegde
पुरुषोत्तमदास टण्डन	Purushottam Das Tandon
युधिष्ठिरः	Yudhisthira
किशन कान्त	Krishan Kant
पाण्डीचेरीमण्डलम्	Pondicherry district
राजकुमारः	Rajkumar (actor)
छिन्दवाडा	Chhindwara
यास्कः	Yāska
कोटामण्डलम्	Kota district
रायबरेली	Raebareli
रीवा	Rewa, Madhya Pradesh
टोङ्क, भारतम्	Tonk, India
गाझिपुरम्	Ghazipur
नवद्वीप	Nabadwip
झुञ्झुनु	Jhunjhunu
सागर	Sagar, Madhya Pradesh
वर्कले	Varkala
हळेबीडु	Halebidu
सुल्तानपुरम्, उत्तरप्रदेशः	Sultanpur, Uttar Pradesh
फतेहगढ	Fatehgarh
देवरिया, उत्तरप्रदेशः	Deoria, Uttar Pradesh
मुन्नार्	Munnar
ईशावास्योपनिषत्	Isha Upanishad
ललितपुरम्	Lalitpur, India
एरणाकुलम्-मण्डलम्	Ernakulam
जालौर	Jalore
जौनपुरम्, उत्तरप्रदेशः	Jaunpur, Uttar Pradesh
महाराजागञ्ज, उत्तरप्रदेशः	Mahrajganj, Uttar Pradesh
श्रवणबेळगोळ	Shravanabelagola
कोलकाता उच्चन्यायालयः	Calcutta High Court
शान्तिनिकेतन	Santiniketan
ताळीकोटे	Talikota
प्रतापगढ, उत्तरप्रदेशः	Pratapgarh, Uttar Pradesh
उदरम्	Stomach
अविद्या (योगदर्शनम्)	Avidyā (Buddhism)
संस्कृतवाङ्मयम्	Sanskrit literature
द्रौपदी	Draupadi
समुद्रीय-प्रदूषणम्	Marine pollution
चन्द्रकान्ता	Chandrakanta (author)
चम्बामण्डलम्	Chamba district
कच्छमण्डलम्	Kutch District
चार्ल्स् एल्टन्	Charles Sutherland Elton
फणीश्वर नाथ रेणु	Phanishwar Nath 'Renu'
पुट्टपर्ती	Puttaparthi
तृणबदरफलरसः	Strawberry juice
समाधिपादः	Yoga Sutras of Patanjali
सौराष्ट्रम्	Saurashtra (region)
छत्रपतिशाहूजिमहाराजनगरमण्डलम्	Amethi district
छत्रपतिशिवाजिमहाराज-वस्तुसङ्ग्रहालयः	Prince of Wales Museum
छतरपुरम्	Chhatarpur
चिक्कबळ्ळापुरमण्डलम्	Chikkaballapur district
चित्तौडगढमण्डलम्	Chittorgarh district
धर्मशास्त्रम्	Dharmaśāstra
पादकन्दुकक्रीडा	Football
न्हानालाल	Nanalal Dalpatram Kavi
नागेश्वरः	Nageshvara Jyotirlinga
वैद्यनाथः	Baidyanath Temple
चुरूमण्डलम्	Churu district
घृश्णेश्वरः	Grishneshwar
भीमशङ्करः	Bhimashankar Temple
ओङ्कारेश्वरः	Omkareshwar
क्लव्डी ईदर्ली	Claude Eatherly
एलगिरिपर्वतः	Yelagiri
आषाढमासः	Ashadha
चिक्कोडी	Chikodi
चिकल्धारा	Chikhaldara
ऐतरेयोपनिषत्	Aitareya Upanishad
माण्डूक्योपनिषत्	Mandukya Upanishad
केनोपनिषत्	Kena Upanishad
कठोपनिषत्	Katha Upanishad
कोलासिब	Kolasib
प्राचीनवास्तुविद्या	Vastu shastra
भारतस्य शासनप्रणालिः	Politics of India
नक्षत्रम्	Nakshatra
अयस्कान्तचिकित्सा	Magnet therapy
पोतकी	Basella alba
कामः	Kama
समुद्रगुप्तः	Samudragupta
दार्जिलिङ्गमण्डलम्	Darjeeling district
जयपुरमण्डलम्	Jaipur district
स्वप्नवासवदत्तम्	Svapnavasavadattam
सातारामण्डलम्	Satara district
डाङ्गमण्डलम्	Dang District, India
सूर्यनमस्काराः	Surya Namaskara
गणराज्योत्सवः	Republic Day (India)
कामेट् (शिखरम्)	Kamet
नदियामण्डलम्	Nadia district
सोमनाथः	Somnath
मिर्जापुरमण्डलम्	Mirzapur district
गोरखपुरमण्डलम्	Gorakhpur district
सर्पगन्धः	Rauvolfia serpentina
कूचिपुडी	Kuchipudi
दुर्गापूजा	Durga Puja
जवाहरलालनेहरु विश्वविद्यालय	Jawaharlal Nehru University
गोल्कोण्डदुर्गम्	Qutb Shahi dynasty
गुडः	Jaggery
यशपाल	Yashpal
शैलेन्द्रराजवंशः	Sailendra
डी वी सदानन्द गौड	D. V. Sadananda Gowda
पर्वतारोहणक्रीडा	Rock climbing
कोलकाता नैट् रैडर्स्	Kolkata Knight Riders
रायल् चालेञ्जर्स् बेङ्गळूरु	Royal Challengers Bangalore
दमन	Daman district, India
खरोष्ठी	Kharosthi
दौसामण्डलम्	Dausa district
डेक्कन् चार्जर्स्	Deccan Chargers
दीक्षाभूमिः	Deekshabhoomi
गृञ्जनकरसः	Carrot juice
दण्डी	Daṇḍin
मैथिलीशरण गुप्तः	Maithili Sharan Gupt
दमोह	Damoh
दतिया	Datia
डङ्कपुरम्	Dakor
चुरू	Churu
दीग	Deeg
हिन्दुधर्मस्य इतिहासः	History of Hinduism
जयशङ्कर प्रसाद	Jaishankar Prasad
भारतीय प्रौद्यौगिकी संस्थानम् दिल्ली	Indian Institute of Technology Delhi
कथासरित्सागरः	Kathasaritsagara
मुम्बै इण्डियन्स्	Mumbai Indians
एकादशी	Ekadashi
पीलीभीत्	Pilibhit
कच्छखारी	Indian Wild Ass Sanctuary
धौलपुरमण्डलम्	Dholpur district
भारतीयसेनोत्सवः	Armed Forces Day
हनुमप्प सुदर्शन्	Hanumappa Sudarshan
माण्डिनो डि लूज्जि	Mondino de Liuzzi
सि एन् आर् राव	C. N. R. Rao
मीनराशिः	Pisces (astrology)
द्राविडमुन्नेत्रकळगम्(डि.एम्.के)	Dravida Munnetra Kazhagam
नारायणगुरुः	Narayana Guru
दाहोद	Dahod
धौलपुरम्	Dholpur
डुङ्गरपुरमण्डलम्	Dungarpur district
देवास	Dewas
सम्भल्पुर मण्डलम्	Sambalpur district
द्वापरयुगम्	Dvapara Yuga
द्वारकानाथ ठाकुर	Dwarkanath Tagore
विक्रमादित्यः	Vikramāditya
स्कन्दगुप्तः	Skandagupta
अलाबु	Calabash
प्राचीनगणितम्	Indian mathematics
गाझिपुरमण्डलम्	Ghazipur district
चेन्नै सूपर् किङ्ग्स्	Chennai Super Kings
राष्ट्रियस्वयंसेवकसङ्घः	Rashtriya Swayamsevak Sangh
रामकृष्ण मिशन्	Ramakrishna Mission
आकाशवाणी(AIR)	Akashvani (radio broadcaster)
वाराणसीमण्डलम्	Varanasi district
रायबरेलीमण्डलम्	Raebareli district
त्रिपिटकम् (बौद्धदर्शनम्)	Tripiṭaka
उदयपुरमण्डलम्	Udaipur district
प्रकाश् राज्	Prakash Raj
हिन्दी साहित्यं	Hindi literature
राजमाषशाकम्	Vigna unguiculata subsp. sesquipedalis
जटायुः	Jatayu
पटोलः	Trichosanthes cucumerina
विष्णुपुराणम्	Vishnu Purana
विकिपीडिया:वैज्ञानिक-शब्दावलिः/A	Pandit
द्वादशज्योतिर्लिङ्गानि	Jyotirlinga
संन्यासाश्रमः	Sannyasa
मोरादाबादमण्डलम्	Moradabad district
